Date,Time,T02,T04,T06,T08,T09,T12,T13,T14,T17,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T33,T35,T36,T37,T39,T40,T41,T42,T43,T44,T46,T47,T48,T49,T51,T52,T53,T55,T56,T57,T58,T59,T60
2021-08-06,16:00:00,2.062,12.072,3.017,11.451,12.649,2.578,6.09,10.058,12.103,2.058,13.15,8.554,5.061,11.563,3.05,3.04,2.075,3.112,3.569,2.577,6.628,3.536,8.072,2.551,3.569,2.622,4.008,4.06,3.598,10.141,8.621,3.058,12.067,1.505,14.591,9.577,2.058,4.081,9.603,12.147,3.034,2.58,15.113,14.605,4.062
2021-08-06,20:00:00,2.565,9.068,3.017,7.948,9.638,3.08,6.09,8.555,8.096,2.058,9.136,7.551,6.065,9.056,3.05,2.537,2.075,3.614,3.067,2.074,7.13,4.038,6.567,2.551,3.067,2.622,4.51,4.06,3.598,8.636,7.616,3.559,10.063,1.505,9.577,7.069,2.56,5.085,9.102,9.136,3.034,2.58,8.595,8.078,5.064
2021-08-07,0:00:00,2.565,5.062,3.017,3.945,3.609,3.08,4.081,4.546,3.587,2.058,4.615,5.544,5.563,4.54,3.552,2.537,2.075,3.614,3.067,2.577,4.619,4.038,4.056,2.551,3.067,3.125,4.51,4.06,3.598,3.617,5.102,3.559,6.052,2.005,3.552,4.057,2.56,5.085,4.583,4.615,3.034,2.58,4.581,3.551,5.064
2021-08-07,4:00:00,2.565,4.06,3.017,2.944,2.604,3.08,3.578,3.543,2.585,2.058,3.106,4.038,4.558,3.536,3.552,2.537,2.075,3.614,3.067,2.577,3.615,3.536,3.052,2.551,3.569,2.622,4.51,4.06,3.598,3.114,4.096,3.559,4.548,2.005,2.547,3.053,2.058,4.583,3.578,3.609,3.034,2.58,3.075,2.545,4.062
2021-08-07,8:00:00,2.565,4.561,3.017,4.445,3.609,2.578,4.081,4.045,3.587,2.058,4.615,4.54,4.056,4.54,3.05,2.537,2.075,3.614,3.067,2.577,4.117,3.034,3.554,2.551,3.067,2.622,4.51,4.06,3.598,4.621,4.096,3.559,5.049,2.005,4.557,4.057,2.058,4.081,4.081,4.615,3.034,2.58,4.581,4.054,3.561
2021-08-07,12:00:00,2.062,8.067,3.017,9.449,7.629,2.578,6.592,7.553,7.095,2.058,8.132,7.049,4.056,9.557,3.05,2.537,2.075,3.112,3.067,2.074,6.628,3.034,6.567,2.551,3.067,2.622,4.008,3.559,3.096,11.646,5.102,3.559,7.557,1.505,11.583,9.076,2.058,3.578,6.09,6.625,3.034,2.58,9.599,8.58,3.561
2021-08-07,16:00:00,2.062,13.074,3.017,16.954,11.645,2.578,9.102,11.561,12.103,2.058,14.655,10.059,5.061,13.066,3.05,2.537,2.075,3.614,3.067,2.074,9.138,4.038,10.079,2.049,3.067,2.622,4.008,3.559,3.096,12.648,9.124,3.058,14.071,1.505,15.093,11.583,2.058,4.583,9.102,10.642,3.034,2.58,14.611,14.103,4.563
2021-08-07,20:00:00,2.565,10.571,3.017,10.95,10.14,3.08,7.596,10.559,8.096,2.058,9.638,8.053,6.567,8.053,3.552,2.537,2.075,3.614,3.067,2.074,8.134,5.042,7.068,2.049,3.067,2.622,4.51,3.559,3.598,7.633,8.119,3.559,11.566,1.505,7.068,6.567,2.56,5.587,9.102,7.629,3.034,2.58,9.097,6.067,5.565
2021-08-08,0:00:00,2.565,4.561,3.52,2.944,2.604,3.583,4.081,3.543,2.084,2.56,3.609,4.54,5.563,3.034,3.552,2.537,2.578,4.115,3.067,2.577,4.619,4.54,3.052,2.049,3.067,3.125,4.51,4.06,3.598,2.11,4.599,4.06,5.551,2.005,1.039,2.551,2.56,5.085,3.578,3.609,3.034,2.58,2.572,2.041,5.064
2021-08-08,4:00:00,2.565,4.561,3.52,3.945,4.112,3.08,4.583,4.045,3.587,2.56,4.112,5.042,4.558,4.038,3.552,2.537,2.578,3.614,3.067,2.577,4.619,3.536,3.554,2.049,3.569,3.125,4.51,4.06,3.598,4.119,4.096,4.06,5.049,2.005,3.552,4.057,2.058,4.583,4.081,4.615,3.034,2.58,4.079,3.551,4.563
2021-08-08,8:00:00,2.565,5.062,3.017,4.946,4.615,2.578,4.583,4.546,4.59,2.058,4.615,5.042,4.558,4.54,3.552,2.537,2.075,3.614,3.067,2.577,5.122,3.536,4.558,2.049,3.569,2.622,4.51,4.06,3.598,5.123,4.096,3.559,5.049,2.005,5.059,4.559,2.058,4.081,4.583,4.615,3.034,2.58,5.083,4.054,4.062
2021-08-08,12:00:00,2.565,6.064,3.017,5.947,5.117,2.578,5.085,5.549,5.091,2.058,5.62,6.046,4.056,5.544,3.05,2.537,2.075,3.614,3.067,2.577,5.624,3.536,5.061,2.551,3.067,2.622,4.008,4.06,3.096,6.629,4.599,3.559,6.052,2.005,6.063,5.563,2.058,4.081,5.085,5.117,3.034,2.58,6.087,5.061,4.062
2021-08-08,16:00:00,2.062,6.565,3.017,6.948,5.62,2.578,5.587,6.05,5.592,2.058,6.122,6.046,4.558,7.049,3.05,2.537,2.075,3.614,3.067,2.577,6.126,3.536,5.563,2.049,3.067,2.622,4.008,3.559,3.096,7.633,5.102,3.559,7.055,1.505,7.068,6.567,2.058,4.081,5.085,5.62,3.034,2.58,6.589,6.067,4.062
2021-08-08,20:00:00,2.062,6.064,3.017,5.446,5.117,2.578,5.085,5.549,5.091,2.058,6.122,6.046,4.558,6.547,3.05,2.537,2.075,3.614,3.067,2.074,5.624,3.536,5.061,2.049,3.067,2.622,4.008,3.559,3.096,6.127,5.102,3.559,7.055,1.505,6.063,6.065,2.058,4.081,5.085,5.62,3.034,2.58,6.087,5.564,4.062
